#key,timestamp,value,count
0,1456160284,99,1
1,1456160290,99,1
2,1456160296,99,1
3,1456160302,99,1
4,1456160308,99,1
5,1456160314,99,1
6,1456160320,99,1
7,1456160326,99,1
8,1456160332,99,1
9,1456160338,99,1
10,1456160344,99,1
11,1456160350,99,1
12,1456160356,99,1
13,1456160362,99,1
14,1456160368,99,1
15,1456160374,99,1
16,1456160380,99,1
17,1456160386,99,1
18,1456160392,99,1
19,1456160398,99,1
20,1456160404,99,1
21,1456160410,99,1
22,1456160416,99,1
23,1456160422,99,1
24,1456160428,99,1
25,1456160434,99,1
26,1456160440,99,1
27,1456160446,99,1
28,1456160452,99,1
29,1456160458,99,1
30,1456160464,99,1
31,1456160470,99,1
32,1456160476,99,1
33,1456160482,99,1
34,1456160488,99,1
35,1456160494,99,1
36,1456160500,99,1
37,1456160506,99,1
38,1456160512,99,1
39,1456160518,99,1
40,1456160524,99,1
41,1456160530,99,1
42,1456160536,99,1
43,1456160542,99,1
44,1456160548,99,1
45,1456160554,99,1
46,1456160560,99,1
47,1456160566,99,1
48,1456160572,99,1
49,1456160578,99,1
50,1456160584,100,1
51,1456160590,100,1
52,1456160596,100,1
53,1456160602,100,1
54,1456160608,100,1
55,1456160614,100,1
56,1456160620,100,1
57,1456160626,100,1
58,1456160632,100,1
59,1456160638,100,1
60,1456160644,99,1
61,1456160650,99,1
62,1456160656,99,1
63,1456160662,99,1
64,1456160668,99,1
65,1456160674,99,1
66,1456160680,99,1
67,1456160686,99,1
68,1456160692,99,1
69,1456160698,99,1
70,1456160704,99,1
71,1456160710,99,1
72,1456160716,99,1
73,1456160722,99,1
74,1456160728,99,1
75,1456160734,99,1
76,1456160740,99,1
77,1456160746,99,1
78,1456160752,99,1
79,1456160758,99,1
80,1456160764,99,1
81,1456160770,99,1
82,1456160776,99,1
83,1456160782,99,1
84,1456160788,99,1
85,1456160794,99,1
86,1456160800,99,1
87,1456160806,99,1
88,1456160812,99,1
89,1456160818,99,1
90,1456160824,100,1
91,1456160830,100,1
92,1456160836,100,1
93,1456160842,100,1
94,1456160848,100,1
95,1456160854,100,1
96,1456160860,100,1
97,1456160866,100,1
98,1456160872,100,1
99,1456160878,100,1
100,1456160884,99,1
101,1456160890,99,1
102,1456160896,99,1
103,1456160902,99,1
104,1456160908,99,1
105,1456160914,99,1
106,1456160920,99,1
107,1456160926,99,1
108,1456160932,99,1
109,1456160938,99,1
110,1456160944,99,1
111,1456160950,99,1
112,1456160956,99,1
113,1456160962,99,1
114,1456160968,99,1
115,1456160974,99,1
116,1456160980,99,1
117,1456160986,99,1
118,1456160992,99,1
119,1456160998,99,1
120,1456161004,99,1
121,1456161010,99,1
122,1456161016,99,1
123,1456161022,99,1
124,1456161028,99,1
125,1456161034,99,1
126,1456161040,99,1
127,1456161046,99,1
128,1456161052,99,1
129,1456161058,99,1
130,1456161064,100,1
131,1456161070,100,1
132,1456161076,100,1
133,1456161082,100,1
134,1456161088,100,1
135,1456161094,100,1
136,1456161100,100,1
137,1456161106,100,1
138,1456161112,100,1
139,1456161118,100,1
140,1456161124,93,1
141,1456161130,93,1
142,1456161136,93,1
143,1456161142,93,1
144,1456161148,93,1
145,1456161154,93,1
146,1456161160,93,1
147,1456161166,93,1
148,1456161172,93,1
149,1456161178,93,1
150,1456161184,80,1
151,1456161190,80,1
152,1456161196,80,1
153,1456161202,80,1
154,1456161208,80,1
155,1456161214,80,1
156,1456161220,80,1
157,1456161226,80,1
158,1456161232,80,1
159,1456161238,80,1
160,1456161244,66,1
161,1456161250,66,1
162,1456161256,66,1
163,1456161262,66,1
164,1456161268,66,1
165,1456161274,66,1
166,1456161280,66,1
167,1456161286,66,1
168,1456161292,66,1
169,1456161298,66,1
170,1456161304,56,1
171,1456161310,56,1
172,1456161316,56,1
173,1456161322,56,1
174,1456161328,56,1
175,1456161334,56,1
176,1456161340,56,1
177,1456161346,56,1
178,1456161352,56,1
179,1456161358,56,1
180,1456161364,40,1
181,1456161370,40,1
182,1456161376,40,1
183,1456161382,40,1
184,1456161388,40,1
185,1456161394,40,1
186,1456161400,40,1
187,1456161406,40,1
188,1456161412,40,1
189,1456161418,40,1
190,1456161424,25,1
191,1456161430,25,1
192,1456161436,25,1
193,1456161442,25,1
194,1456161448,25,1
195,1456161454,25,1
196,1456161460,25,1
197,1456161466,25,1
198,1456161472,25,1
199,1456161478,25,1
200,1456161484,8,1
201,1456161490,8,1
202,1456161496,8,1
203,1456161502,8,1
204,1456161508,8,1
205,1456161514,8,1
206,1456161520,8,1
207,1456161526,8,1
208,1456161532,8,1
209,1456161538,8,1
210,1456161544,0,1
211,1456161550,0,1
212,1456161556,0,1
213,1456161562,0,1
214,1456161568,0,1
215,1456161574,0,1
216,1456161580,0,1
217,1456161586,0,1
218,1456161592,0,1
219,1456161598,0,1
220,1456161604,28,1
221,1456161610,28,1
222,1456161616,28,1
223,1456161622,28,1
224,1456161628,28,1
225,1456161634,28,1
226,1456161640,28,1
227,1456161646,28,1
228,1456161652,28,1
229,1456161658,28,1
230,1456161664,42,1
231,1456161670,42,1
232,1456161676,42,1
233,1456161682,42,1
234,1456161688,42,1
235,1456161694,36,2
236,1456161700,36,2
237,1456161706,36,2
238,1456161712,36,2
239,1456161718,36,2
240,1456161724,28,2
241,1456161730,28,2
242,1456161736,28,2
243,1456161742,28,2
244,1456161748,28,2
245,1456161754,20,2
246,1456161760,20,2
247,1456161766,20,2
248,1456161772,20,2
249,1456161778,20,2
250,1456161784,29,2
251,1456161790,29,2
252,1456161796,29,2
253,1456161802,29,2
254,1456161808,29,2
255,1456161814,45,2
256,1456161820,45,2
257,1456161826,45,2
258,1456161832,45,2
259,1456161838,45,2
260,1456161844,46,2
261,1456161850,46,2
262,1456161856,46,2
263,1456161862,46,2
264,1456161868,46,2
265,1456161874,45,2
266,1456161880,45,2
267,1456161886,44,3
268,1456161892,44,3
269,1456161898,44,3
270,1456161904,43,3
271,1456161910,43,3
272,1456161916,43,3
273,1456161922,43,3
274,1456161928,43,3
275,1456161934,43,3
276,1456161940,43,3
277,1456161946,43,3
278,1456161952,43,3
279,1456161958,43,3
280,1456161964,42,3
281,1456161970,42,3
282,1456161976,42,3
283,1456161982,42,3
284,1456161988,42,3
285,1456161994,39,3
286,1456162000,39,3
287,1456162006,37,3
288,1456162012,37,3
289,1456162018,37,3
290,1456162024,34,3
291,1456162030,34,3
292,1456162036,34,3
293,1456162042,34,3
294,1456162048,34,3
295,1456162054,30,3
296,1456162060,30,3
297,1456162066,23,3
298,1456162072,23,3
299,1456162078,23,3
300,1456162084,18,3
301,1456162090,18,3
302,1456162096,18,3
303,1456162102,18,3
304,1456162108,18,3
305,1456162114,16,3
306,1456162120,16,3
307,1456162126,14,3
308,1456162132,14,3
309,1456162138,14,3
310,1456162144,13,3
311,1456162150,13,3
312,1456162156,13,3
313,1456162162,13,3
314,1456162168,13,3
315,1456162174,10,3
316,1456162180,10,3
317,1456162186,15,3
318,1456162192,15,3
319,1456162198,15,3
320,1456162204,15,3
321,1456162210,15,3
322,1456162216,15,3
323,1456162222,15,3
324,1456162228,15,3
325,1456162234,23,3
326,1456162240,23,3
327,1456162246,28,3
328,1456162252,28,3
329,1456162258,28,3
330,1456162264,38,4
331,1456162270,38,4
332,1456162276,38,4
333,1456162282,38,4
334,1456162288,38,4
335,1456162294,37,4
336,1456162300,37,4
337,1456162306,34,4
338,1456162312,34,4
339,1456162318,34,4
340,1456162324,31,4
341,1456162330,31,4
342,1456162336,31,4
343,1456162342,31,4
344,1456162348,31,4
345,1456162354,28,4
346,1456162360,28,4
347,1456162366,25,4
348,1456162372,25,4
349,1456162378,25,4
350,1456162384,19,4
351,1456162390,19,4
352,1456162396,19,4
353,1456162402,19,4
354,1456162408,19,4
355,1456162414,15,4
356,1456162420,15,4
357,1456162426,11,4
358,1456162432,11,4
359,1456162438,11,4
360,1456162444,8,4
361,1456162450,8,4
362,1456162456,8,4
363,1456162462,8,4
364,1456162468,8,4
365,1456162474,9,4
366,1456162480,9,4
367,1456162486,14,4
368,1456162492,14,4
369,1456162498,14,4
370,1456162504,23,4
371,1456162510,23,4
372,1456162516,23,4
373,1456162522,23,4
374,1456162528,23,4
375,1456162534,26,4
376,1456162540,26,4
377,1456162546,26,4
378,1456162552,26,4
379,1456162558,26,4
380,1456162564,22,4
381,1456162570,22,4
382,1456162576,22,4
383,1456162582,22,4
384,1456162588,23,5
385,1456162594,21,5
386,1456162600,21,5
387,1456162606,17,5
388,1456162612,17,5
389,1456162618,17,5
390,1456162624,12,5
391,1456162630,12,5
392,1456162636,12,5
393,1456162642,12,5
394,1456162648,12,5
395,1456162654,12,5
396,1456162660,12,5
397,1456162666,14,5
398,1456162672,14,5
399,1456162678,14,5
400,1456162684,20,5
401,1456162690,20,5
402,1456162696,20,5
403,1456162702,20,5
404,1456162708,22,5
405,1456162714,26,5
406,1456162720,26,5
407,1456162726,28,5
408,1456162732,28,5
409,1456162738,28,5
410,1456162744,30,5
411,1456162750,30,5
412,1456162756,30,5
413,1456162762,30,5
414,1456162768,29,5
415,1456162774,29,5
416,1456162780,29,5
417,1456162786,29,6
418,1456162792,29,6
419,1456162798,29,6
420,1456162804,28,6
421,1456162810,28,6
422,1456162816,28,6
423,1456162822,28,6
424,1456162828,26,6
425,1456162834,24,6
426,1456162840,24,6
427,1456162846,19,6
428,1456162852,19,6
429,1456162858,19,6
430,1456162864,14,6
431,1456162870,14,6
432,1456162876,14,6
433,1456162882,14,6
434,1456162888,12,6
435,1456162894,10,6
436,1456162900,10,6
437,1456162906,9,6
438,1456162912,9,6
439,1456162918,9,6
440,1456162924,9,6
441,1456162930,9,6
442,1456162936,9,6
443,1456162942,9,6
444,1456162948,11,6
445,1456162954,11,6
446,1456162960,11,6
447,1456162966,13,6
448,1456162972,13,6
449,1456162978,13,6
450,1456162984,13,6
451,1456162990,13,6
452,1456162996,13,6
453,1456163002,13,6
454,1456163008,12,6
455,1456163014,12,6
456,1456163020,12,6
457,1456163026,12,6
458,1456163032,12,6
459,1456163038,12,6
460,1456163044,14,7
461,1456163050,14,7
462,1456163056,14,7
463,1456163062,14,7
464,1456163068,14,7
465,1456163074,14,7
466,1456163080,14,7
467,1456163086,16,7
468,1456163092,16,7
469,1456163098,16,7
470,1456163104,16,7
471,1456163110,16,7
472,1456163116,16,7
473,1456163122,16,7
474,1456163128,16,7
475,1456163134,16,7
476,1456163140,16,7
477,1456163146,16,7
478,1456163152,16,7
479,1456163158,16,7
480,1456163164,20,7
481,1456163170,20,7
482,1456163176,20,7
483,1456163182,20,7
484,1456163188,22,7
485,1456163194,25,7
486,1456163200,25,7
487,1456163206,30,7
488,1456163212,30,7
489,1456163218,30,7
490,1456163224,37,7
491,1456163230,37,7
492,1456163236,37,7
493,1456163242,37,7
494,1456163248,39,7
495,1456163254,42,7
496,1456163260,42,7
497,1456163266,45,7
498,1456163272,45,7
499,1456163278,45,7
500,1456163284,48,7
501,1456163290,48,7
502,1456163296,48,7
503,1456163302,48,7
504,1456163308,48,8
505,1456163314,49,8
506,1456163320,49,8
507,1456163326,50,8
508,1456163332,50,8
509,1456163338,50,8
510,1456163344,52,8
511,1456163350,52,8
