#key,timestamp,value
0,1456161204,300
1,1456161264,720
2,1456161324,1080
3,1456161384,1320
4,1456161444,1920
5,1456161504,2280
6,1456161575,2580
7,1456161635,2820
8,1456161695,1470
9,1456161755,1500
10,1456161815,1710
11,1456161875,1770
12,1456161935,1240
13,1456161995,1240
14,1456162055,1320
15,1456162116,1440
16,1456162176,1520
17,1456162239,1600
18,1456162299,1215
19,1456162359,1320
20,1456162419,1395
21,1456162482,1530
22,1456162542,1530
23,1456162602,1296
24,1456162665,1392
25,1456162725,1404
26,1456162785,1220
27,1456162846,1240
28,1456162909,1330
29,1456162975,1410
30,1456163038,1500
31,1456163098,1260
32,1456163161,1217
33,1456163222,1140
34,1456163282,1088
35,1456163342,892
36,1456163402,840
37,1456163462,772
38,1456163522,772
39,1456163582,831
40,1456163642,771
41,1456163702,711
42,1456163762,780
43,1456163822,700
44,1456163882,620
45,1456163942,672
46,1456164002,600
47,1456164062,576
48,1456164122,690
49,1456164182,540
50,1456164242,420
51,1456164302,285
52,1456164362,360
53,1456164422,220
54,1456164482,120
55,1456164541,30
56,1456164600,30
57,1456164660,420
58,1456164719,240
59,1456164779,720
60,1456164839,1080
61,1456164899,1260
62,1456164959,1800
63,1456165019,2040
64,1456165085,2460
65,1456165145,2460
66,1456165205,1290
67,1456165265,1560
68,1456165325,1740
69,1456165385,1320
70,1456165445,1460
71,1456165505,1480
72,1456165565,1500
73,1456165625,1620
74,1456165685,1305
75,1456165745,1455
76,1456165805,1575
77,1456165868,1620
78,1456165928,1710
79,1456165988,1464
80,1456166051,1572
81,1456166118,1656
82,1456166185,1764
83,1456166254,1570
84,1456166322,1640
85,1456166391,1720
86,1456166459,1740
87,1456166527,1517
88,1456166596,1585
89,1456166665,1620
90,1456166729,1602
91,1456166801,1335
92,1456166868,1320
93,1456166934,1312
94,1456167001,1245
95,1456167068,1237
96,1456167135,1192
97,1456167200,1117
98,1456167263,1080
99,1456167323,1027
100,1456167383,952
101,1456167443,922
102,1456167503,855
103,1456167563,825
104,1456167623,795
105,1456167683,757
106,1456167743,712
107,1456167803,771
108,1456167863,685
109,1456167923,625
110,1456167983,660
111,1456168043,590
112,1456168103,590
113,1456168163,624
114,1456168223,564
115,1456168283,504
116,1456168343,525
117,1456168403,465
118,1456168463,375
119,1456168523,500
120,1456168583,580
121,1456168643,780
122,1456168703,1320
123,1456168763,1590
124,1456168823,1800
125,1456168885,1950
126,1456168960,2100
127,1456169023,2190
128,1456169086,1580
129,1456169152,1660
130,1456169212,1740
131,1456169273,1305
132,1456169333,1350
133,1456169396,1485
134,1456169456,1575
135,1456169516,1332
136,1456169576,1392
137,1456169638,1464
138,1456169698,1500
139,1456169758,1596
140,1456169819,1330
141,1456169882,1370
142,1456169950,1440
143,1456170011,1470
144,1456170074,1302
145,1456170141,1362
146,1456170209,1371
147,1456170276,1371
148,1456170342,1252
149,1456170411,1297
150,1456170479,1267
151,1456170547,1222
152,1456170612,1155
153,1456170672,1080
154,1456170732,1027
155,1456170792,1020
156,1456170852,982
157,1456170912,930
158,1456170972,907
159,1456171032,847
160,1456171092,802
161,1456171152,757
162,1456171221,840
163,1456171281,771
164,1456171341,728
165,1456171401,760
166,1456171461,700
167,1456171521,680
168,1456171581,708
169,1456171641,600
170,1456171701,660
171,1456171761,570
172,1456171821,420
173,1456171881,560
174,1456171942,380
175,1456172002,300
176,1456172062,220
177,1456172121,30
178,1456172181,150
179,1456172240,120
180,1456172300,300
181,1456172360,660
182,1456172420,1140
183,1456172480,1440
184,1456172540,1980
185,1456172602,2160
186,1456172662,2280
187,1456172722,2340
188,1456172782,1290
189,1456172842,1380
190,1456172902,1650
191,1456172963,1890
192,1456173030,2010
193,1456173090,2250
194,1456173152,1640
195,1456173217,1840
196,1456173283,1900
197,1456173343,1500
198,1456173403,1560
199,1456173466,1605
200,1456173532,1710
201,1456173592,1785
202,1456173658,1548
203,1456173725,1620
204,1456173790,1716
205,1456173853,1440
206,1456173922,1440
207,1456173987,1470
208,1456174049,1302
209,1456174117,1388
210,1456174187,1431
211,1456174255,1388
212,1456174322,1192
213,1456174385,1147
214,1456174445,1095
215,1456174505,1050
216,1456174565,1035
217,1456174625,960
218,1456174685,907
219,1456174746,900
220,1456174806,840
221,1456174866,795
222,1456174926,795
223,1456174986,757
224,1456175046,735
225,1456175106,822
226,1456175166,771
227,1456175226,720
228,1456175286,830
229,1456175346,810
230,1456175406,876
231,1456175466,792
232,1456175526,756
233,1456175586,870
234,1456175646,840
235,1456175706,810
236,1456175766,1020
237,1456175826,860
238,1456175886,660
239,1456175946,780
240,1456176006,1020
241,1456176066,1170
242,1456176126,1350
243,1456176186,1560
244,1456176251,1590
245,1456176311,1620
246,1456176371,1100
247,1456176431,1300
248,1456176491,1440
249,1456176551,1440
250,1456176611,1540
251,1456176671,1720
252,1456176731,1425
253,1456176792,1470
254,1456176857,1530
255,1456176921,1680
256,1456176983,1380
257,1456177048,1452
258,1456177112,1512
259,1456177173,1260
260,1456177233,1300
261,1456177299,1350
262,1456177362,1360
263,1456177422,1420
264,1456177487,1277
265,1456177553,1277
266,1456177621,1328
267,1456177688,1380
268,1456177755,1222
269,1456177823,1275
270,1456177892,1237
271,1456177960,1200
272,1456178027,1170
273,1456178094,1140
274,1456178159,1125
275,1456178219,1087
276,1456178279,1050
277,1456178339,1042
278,1456178399,975
279,1456178459,967
280,1456178519,922
281,1456178579,885
282,1456178639,847
283,1456178699,795
284,1456178759,787
285,1456178819,772
286,1456178879,805
287,1456178939,788
288,1456178999,737
289,1456179059,850
290,1456179119,830
291,1456179180,820
292,1456179240,960
293,1456179300,876
294,1456179360,864
295,1456179420,930
296,1456179480,810
297,1456179540,675
298,1456179600,840
299,1456179660,680
300,1456179720,760
301,1456179780,1290
302,1456179840,1350
303,1456179900,1590
304,1456179960,1650
305,1456180020,1860
306,1456180080,2070
307,1456180140,2370
308,1456180201,2430
309,1456180261,2640
310,1456180321,1780
311,1456180381,1840
312,1456180441,1880
313,1456180501,1980
314,1456180561,2040
315,1456180621,1560
316,1456180681,1650
317,1456180741,1725
318,1456180802,1860
319,1456180862,1536
320,1456180922,1560
321,1456180982,1572
322,1456181042,1360
323,1456181102,1430
324,1456181165,1430
325,1456181225,1480
326,1456181285,1490
327,1456181345,1328
328,1456181405,1345
329,1456181472,1431
330,1456181532,1354
331,1456181593,1354
332,1456181653,1311
333,1456181713,1260
334,1456181773,1242
335,1456181833,1200
336,1456181893,1122
337,1456181953,1122
338,1456182013,1080
339,1456182073,1054
340,1456182133,1028
341,1456182193,968
342,1456182253,951
343,1456182313,900
344,1456182388,822
345,1456182448,737
346,1456182508,800
347,1456182572,730
348,1456182632,640
349,1456182692,570
350,1456182752,612
351,1456182812,552
352,1456182872,468
353,1456182932,435
354,1456182992,330
355,1456183052,240
356,1456183112,60
357,1456183172,40
358,1456183231,100
359,1456183290,30
